title,description,priority
"Streetlight not working","Streetlight in our lane has been off for 5 days causing visibility issues at night. Please repair soon.","Medium"
"Huge pothole near school","A large pothole has formed near the school gate. Children and vehicles are at risk of falling.","High"
"Garbage overflow","Garbage bins are overflowing and waste is spread on the road with foul smell.","High"
"Minor littering","Some litter is scattered near the park entrance. Cleaning required.","Low"
"Sewage overflow","Sewage is overflowing from the manhole and spreading on the street causing health hazard.","High"
"Water leakage","Continuous water leakage from pipeline near sector 12. Wasting water and creating slippery surface.","Medium"
"Road accident hotspot","Two-wheeler accidents happening due to broken divider and poor signage. Immediate action needed.","High"
"Fire in transformer","Transformer caught fire with sparks and smoke. Dangerous for residents.","Critical"
"Severe waterlogging","After rain, the main road is fully waterlogged making it impossible to commute.","High"
"Noise complaint","Loud music late at night near residential area. Request enforcement.","Low"
"Broken footpath","Footpath tiles are broken and uneven causing people to trip.","Medium"
"Collapsed drain cover","Drain cover collapsed leaving an open hole on the road; extremely dangerous.","Critical"
"Illegal dumping","Construction waste dumped on roadside blocking pedestrians.","Medium"
"Stray dogs issue","Aggressive stray dogs near market area; safety concern for kids.","Medium"
"Traffic signal malfunction","Signal at junction not working leading to chaos and near-miss accidents.","High"
"Streetlight flickering","Streetlight flickers frequently; needs replacement.","Low"
"Potholes on main road","Multiple potholes on the main road causing vehicle damage.","High"
"Minor road crack","Small crack on internal road; early repair will prevent worsening.","Low"
"Open manhole","An open manhole without barricades near bus stop; people can fall in.","Critical"
"Water supply interruption","No water supply since yesterday morning in our block.","Medium"
"Garbage burning","Garbage is being burnt openly creating thick smoke and breathing issues.","High"
"Air pollution from dust","Continuous dust from construction without cover; air quality is poor.","Medium"
"Electrocution risk","Live wire hanging from electric pole after storm. Serious electrocution risk.","Critical"
"Street flooding","Water accumulation on street due to blocked drain.","Medium"
"Sewage smell","Persistent sewage smell near our building due to leakage.","Medium"
"Tree fallen on road","Large tree has fallen blocking road and traffic movement.","High"
"Broken street sign","Street name sign is broken and confusing for visitors.","Low"
"Illegal parking","Vehicles parked on footpath blocking pedestrians daily.","Low"
"Damaged speed breaker","Speed breaker is broken and sharp edges damage vehicles.","Medium"
"No streetlights in park","Park pathway has no lights making it unsafe at night.","Medium"
"Flooded underpass","Underpass is flooded and cars are getting stuck.","Critical"
"Road collapse","Portion of road collapsed forming a sinkhole; vehicles diverted.","Critical"
"Water contamination","Water smells bad and appears contaminated. Please test and fix.","High"
"Garbage collection missed","Garbage collection not done for a week leading to pile-up.","High"
"Blocked storm drain","Storm drain blocked with plastic; causes flooding during rain.","High"
"Pothole near hospital","Pothole near hospital entrance slowing ambulances.","High"
"Fire hazard at landfill","Smoke and small fires seen near garbage dumping area.","High"
"Broken traffic light","Traffic light stuck on red causing long queues.","Medium"
"Street vendor encroachment","Vendors have encroached road making it narrow and unsafe.","Low"
"Sewage on footpath","Sewage water flowing on footpath; unbearable smell.","High"
"Water pipe burst","Major pipe burst with water gushing out; road is flooded.","High"
"Damaged streetlight pole","Pole leaning and may fall. Needs urgent repair.","High"
"Manhole cover missing","Manhole cover missing on busy road; risk of accident.","Critical"
"Garbage near school","Garbage dumped near school entrance attracting dogs and insects.","High"
"Drain overflow after rain","Drain overflowed after rain and water entered homes.","Critical"
"Broken pavement","Pavement broken near bus stand causing elderly to slip.","Medium"
"Traffic congestion","Heavy congestion due to road work without signage.","Medium"
"Unsafe construction debris","Debris left on road with nails; safety hazard.","High"
"Minor water seepage","Small seepage near water meter. Please inspect.","Low"
"Streetlight on all day","Streetlight stays on during day; energy wastage.","Low"
"Public toilet unhygienic","Public toilet is dirty and lacks water; needs cleaning.","Medium"
"Garbage on highway shoulder","Garbage accumulation on highway shoulder; needs cleaning.","Medium"
"Accident due to pothole","A bike skid happened due to pothole and oil. Needs urgent repair.","Critical"
"Fireworks debris","Debris after festival left on road; cleaning required.","Low"
"Overflowing dustbins","Dustbins overflowing in market creating nuisance.","High"
"Leakage in sewer line","Leakage in sewer line causing stagnant dirty water.","High"
"Broken drainage grill","Drainage grill broken; wheels can get stuck.","Medium"
"Street light missing cover","Light without cover causing glare and uneven lighting.","Low"
"Waterlogging near metro","Waterlogging near metro station entrance making it unsafe.","High"
"Accident prone curve","Curve has no reflectors; vehicles skid at night.","High"
